,created_at_KST,masked_id,full_url,masked_text,media_media_url_https,urls_expanded_url,is_retweeted_by
324,2024-12-21 23:13:49+09:00,향연,https://twitter.com/symposion_/status/1870472748646195205,경찰이 요청하면 국민신문고가 중단될 수 있는거임...?;;;?!?;;; https://t.co/0f5nw8IG1s,False,['https://x.com/mannynfill87591/status/1870472440117383426'],
477,2024-12-21 23:13:51+09:00,************,https://twitter.com/Ryam_nb/status/1870472756426641678,"이거 쓴다고 경찰이 뭐라하면 바로 녹음 키셔서 계급 성명 물어보고 그런 말씀 하는 저의가 뭐냐. 시민모두 이용가능한 화장실인데 왜 방해하느냐 하십쇼.
우리의 세금으로 만든 우리의 정당한 권리입니다.",False,False,야옹뉴스
323,2024-12-21 23:15:18+09:00,*******,https://twitter.com/symposion_/status/1870473122799140996,아직 안갓어요 실시간 이재정의원이 경찰차 앞에 있어요 ! 민변 변호사분도 오셧다고 https://t.co/M1iAm1sZgT,False,False,향연
322,2024-12-21 23:15:25+09:00,*********,https://twitter.com/symposion_/status/1870473149382525019,"서울에서 진행된 범시민대행진을 마치자마자 남태령으로 달려왔습니다.

장갑차 한 대 안 막고 국회를 지키려는 경찰들이 시민을 막더니, 이제 무고한 농민들의 길을 가로막고 아예 도로를 통제하고 있습니다.

오랜 시간 진보당과…",False,False,향연
321,2024-12-21 23:15:29+09:00,*********,https://twitter.com/symposion_/status/1870473169133600900,트랙터 시위는....미신고 집회가 아닙니다........ 신고 하셨고....남태령 전까지는 경찰이 엄호까지 헤줬다합니다....,False,False,향연
675,2024-12-21 23:15:34+09:00,왕밤빵,https://twitter.com/abyss__calling/status/1870473186934202788,탐라에 지금 남태령에 혼자 계시는 분 동행이 있으면 좋겠다 싶으신 분들 계신가요? 상황이 안좋으면 단삭님 도움 받아 가보려고요,False,False,
320,2024-12-21 23:15:39+09:00,*******,https://twitter.com/symposion_/status/1870473208803299663,이소영의원도 경찰이랑 얘기하고 있어요 https://t.co/8lqU9eOEdN,False,False,향연
92,2024-12-21 23:15:57+09:00,***************,https://twitter.com/thinkerballer/status/1870473285789729016,"의경 폐지도 잘 했죠. 인력으로 의존해서 폭력 진압하던 거, 이제 인력 줄어드니까 대놓고는 못하니까요. 했다간 이제 역포위당할 판.",False,False,공놀이보리밥
319,2024-12-21 23:16:42+09:00,**********,https://twitter.com/symposion_/status/1870473475141587453,뭐지 사람들 왜 연행함...? https://t.co/VKRTZxfzKP,['https://pbs.twimg.com/ext_tw_video_thumb/1870469491542683649/pu/img/Hl0RosBDkmVyiRsI.jpg'],False,향연
947,2024-12-21 23:16:50+09:00,***************,https://twitter.com/mabi_relru/status/1870473509312647387,아니 그니까 이해가 안되는게 아침점심에 그냥 통과 시켰으면 광화문 오후 집회에 참여하고 해산했을 텐데 왜 이러냐고 대체 뭐 때문에 무엇을 위해 사람들을 이렇게 만들고 분노하게 하고 버티게 하냐고 그냥 말이 안 됨…,False,False,천고마비
